section	vendor	toledo_number	type	english_description	chinese_description	serving_size	unit	total_calories_cal	percent_cal	calories_from_fat_fat_cal	total_fat_g	percent_fat	saturated_fat_g	percent_sat_fat	trans_fat_g	cholesterol_mg	percent_chol	sodium_mg	percent_sod	total_carbohydrate_g	percent_carb	dietary_fiber_g	percent_diet	sugars_g	protein_g	percent_pro
cold_deli	fpc	28275700000		SOY SAUCE FU PAO	ùF∏Ø∞¸	0.5	lb	286.47	0.14	135.81	14.96	0.23	0	0	0	0	0	615.33	0.26	14.48	0.05	2.35	0.09	9.31	25.2	0.5
cold_deli	fpc	28275800000		CANTONESE PICKLED VEGETABLE	èVñ|≈›≤À	0.5	lb	198.56	0.1	1.68	0.19	0	0.05	0	0	0	0	881.36	0.37	51.77	0.17	3.43	0.14	47.54	1.67	0.03
cold_deli	fpc	28276600000		KAU FU BUDDAH FEAST	œ„πΩøæ˚ü	0.5	lb	189.65	0.09	25.12	2.8	0.04	0.36	0.02	0	0	0	1167.47	0.49	20.52	0.07	6.13	0.25	5.76	18.73	0.37
cold_deli	fpc	28276700000		SPICY TURNIP	¿±Ã} N«¨	0.25	lb	116.3	0.06	45.83	3.48	0.05	0.74	0.04	0	0	0	1170.35	0.49	8.31	0.03	1.81	0.07	9.16	1.81	0.04
cold_deli	fpc	28277500000	marinated	MARINATED VEGETARIAN CHICKEN	ùFÀÿÎu	0.5	lb	401.44	0.2	219.02	24.34	0.37	4.38	0.22	0	0	0	1651.1	0.69	9.03	0.03	0	0	3.4	36.42	0.73
cold_deli	fpc	28277600000	marinated	MARINATED BEAN CURD	ùFœ„«¨	0.5	lb	408.24	0.2	221.47	24.61	0.38	5.41	0.27	0	0	0	1149.88	0.48	9.09	0.03	8.47	0.34	3.18	37.74	0.75
cold_deli	fpc	28277900000		DEEP FRIED TOFU W SPECIAL SAUCE	∆ﬂŒ∂∂π∏Ø	0.25	lb	293.26	0.15	272.91	30.33	0.47	4.34	0.22	0	0	0	348.93	0.15	6.91	0.02	0.04	0	4.97	1.5	0.03
cold_deli	fpc	28278000000		SWEET&SOUR RADISH	ÃÀ·Ã} N	0.5	lb	168.08	0.08	1.49	0.17	0	0.05	0	0	0	0	482.82	0.2	43.22	0.14	2.54	0.1	40.36	0.94	0.02
cold_deli	fpc	28278500000		PICKLED MUSTARD GREEN W SOY BEAN	∞Ë—©—eºt	0.5	lb	268.22	0.13	185.71	20.06	0.31	4.36	0.22	0	0	0	179.88	0.07	16.1	0.05	5.72	0.23	9.06	8.02	0.16
cold_deli	fpc	28279500000		GARLIC PEANUT W SKIN	À‚»ÿª®…˙(éß∆§)	0.15	lb	406.33	0.2	320.52	35.61	0.55	5.89	0.29	0	0	0	83.8	0.03	10.35	0.03	6.38	0.26	2.84	19.01	0.38
cold_deli	fpc	28279600000		GARLIC PEANUT W/O SKIN	À‚»ÿª®…˙(»•∆§)	0.15	lb	405.25	0.2	319.12	35.46	0.55	5.84	0.29	0	0	0	316.34	0.13	10.47	0.03	6.38	0.26	2.83	18.95	0.38
hot_deli	fpc	20150100000		FRIED PEANUT / W SEAWEED	∫£Ã¶ª®…˙	0.15	lb	381.16	0.19	292.76	32.53	0.5	4.15	0.21	0	0	0	28.36	0.01	11.32	0.04	6.27	0.25	3.12	17.7	0.35
cold_deli	fpc	28279700000		SEAWEED PEANUT	∫£Ã¶ª®…˙	0.15	lb	381.16	0.19	292.76	32.53	0.5	4.15	0.21	0	0	0	28.36	0.01	11.32	0.04	6.27	0.25	3.12	17.7	0.35
cold_deli	fpc	20149400000		SWEET SESAME PECANS	ΩåöÃ«∫ÀÃ“	0.15	lb	393.56	0.2	297.16	33.02	0.51	2.85	0.14	0	0	0	10.44	0	25.84	0.09	4.43	0.18	20.47	4.26	0.09
cold_deli	fpc	20149600000		FRIED GLUTEN 3 FLAVOR	»˝…´·u≤À	0.25	lb	284.5	0.14	65.7	6.69	0.1	2.7	0.14	0	0	0	246.59	0.1	29.32	0.1	0.15	0.01	65.99	11.27	0.23
cold_deli	fpc	20149700000		VEGETARIAN DELIGHT	ÀÿùFŒ∂	0.5	lb	349.78	0.17	137.41	15.85	0.24	4.51	0.23	0	0	0	667.67	0.28	25.8	0.09	4.15	0.17	3.05	28.67	0.57
cold_deli	fpc	20151000000		SWEET FERMENTED RICE	æ∆·Ñ	0.25	lb	427.05	0.21	5.05	0	0	0	0	0	0	0	0.03	0	92.94	0.31	2.53	0.1	0	7.56	0.15
hot_deli	fpc	28251800000		SEASONED FISH	†`Ù~	0.5	lb	149.27	0.07	18.29	1.84	0.03	0.01	0	0	51.68	0.17	787.9	0.33	10.45	0.03	0.22	0.01	9.26	23.47	0.47
cold_deli	fpc	28275100000		SAUTEED SQUID	·u±¨–°π‹	0.5	lb	485.84	0.24	253.8	27.77	0.43	6.47	0.32	0	495.03	1.65	1068.55	0.45	21.29	0.07	0.18	0.01	4.15	34.54	0.69
